Date,Open,High,Low,Close,vix,daily_return,overnight_ret,intraday_ret,yearmonth,day_rank,day_rank_rev,high_252,dist_52w
1990-01-02,353.4,359.69,351.98,359.69,17.24,,,1.779852857951325,1990-01,1,22,,
1990-01-03,359.69,360.59,357.89,358.76,18.19,-0.2585559787594893,0.0,-0.2585559787594893,1990-01,2,21,,
1990-01-04,358.76,358.76,352.89,355.67,19.22,-0.8613000334485421,0.0,-0.8613000334485421,1990-01,3,20,,
1990-01-05,355.67,355.67,351.35,352.2,20.11,-0.9756234711952194,0.0,-0.9756234711952194,1990-01,4,19,,
1990-01-08,352.2,354.24,350.54,353.79,20.26,0.4514480408858601,0.0,0.4514480408858601,1990-01,5,18,,
1990-01-09,353.83,354.17,349.61,349.62,22.2,-1.1786653099296274,0.01130614206166225,-1.1898369273379839,1990-01,6,17,,
1990-01-10,349.62,349.62,344.32,347.31,22.44,-0.6607173502660046,0.0,-0.6607173502660046,1990-01,7,16,,
1990-01-11,347.31,350.14,347.31,348.53,20.05,0.3512711986409789,0.0,0.3512711986409789,1990-01,8,15,,
1990-01-12,348.53,348.53,339.49,339.93,24.64,-2.4675063839554645,0.0,-2.4675063839554645,1990-01,9,14,,
1990-01-15,339.93,339.94,336.57,337.0,26.34,-0.8619421645632896,0.0,-0.8619421645632896,1990-01,10,13,,
1990-01-16,337.0,340.75,333.37,340.75,24.18,1.1127596439169052,0.0,1.1127596439169052,1990-01,11,12,,
1990-01-17,340.77,342.01,336.26,337.4,24.16,-0.9831254585473292,0.005869405722669363,-0.988936819555708,1990-01,12,11,,
1990-01-18,337.4,338.38,333.98,338.19,24.34,0.23414344991108393,0.0,0.23414344991108393,1990-01,13,10,,
1990-01-19,338.19,340.48,338.19,339.15,22.5,0.2838641000620923,0.0,0.2838641000620923,1990-01,14,9,,
1990-01-22,339.14,339.96,330.28,330.38,26.7,-2.5858764558454927,-0.0029485478401869436,-2.5830040691160017,1990-01,15,8,,
1990-01-23,330.38,332.76,328.67,331.61,24.72,0.3722985652884647,0.0,0.3722985652884647,1990-01,16,7,,
1990-01-24,331.61,331.71,324.17,330.26,25.39,-0.4071047314616605,0.0,-0.4071047314616605,1990-01,17,6,,
1990-01-25,330.26,332.33,325.33,326.08,25.63,-1.26566947253679,0.0,-1.26566947253679,1990-01,18,5,,
1990-01-26,326.09,328.58,321.44,325.8,26.28,-0.08586849852796341,0.0030667320902733053,-0.08893250329662372,1990-01,19,4,,
1990-01-29,325.8,327.31,321.79,325.2,26.44,-0.18416206261511192,0.0,-0.18416206261511192,1990-01,20,3,,
1990-01-30,325.2,325.73,319.83,322.98,27.25,-0.682656826568262,0.0,-0.682656826568262,1990-01,21,2,,
1990-01-31,322.98,329.08,322.98,329.08,25.36,1.8886618366462216,0.0,1.8886618366462216,1990-01,22,1,,
1990-02-01,329.08,329.86,327.76,328.79,24.87,-0.08812446821440112,0.0,-0.08812446821440112,1990-02,1,19,,
1990-02-02,328.79,332.1,328.09,330.92,24.32,0.6478299218346084,0.0,0.6478299218346084,1990-02,2,18,,
1990-02-05,330.92,332.16,330.45,331.85,24.54,0.28103469116402824,0.0,0.28103469116402824,1990-02,3,17,,
1990-02-06,331.85,331.86,328.2,329.66,24.69,-0.6599367183968696,0.0,-0.6599367183968696,1990-02,4,16,,
1990-02-07,329.66,333.76,326.55,333.75,24.29,1.2406722077291654,0.0,1.2406722077291654,1990-02,5,15,,
1990-02-08,333.75,336.09,332.0,332.96,23.77,-0.23670411985019513,0.0,-0.23670411985019513,1990-02,6,14,,
1990-02-09,333.02,334.6,332.41,333.62,23.69,0.19822200864969552,0.018020182604527868,0.1801693591976461,1990-02,7,13,,
1990-02-12,333.62,333.62,329.97,330.08,24.38,-1.061087464780297,0.0,-1.061087464780297,1990-02,8,12,,
