,LogReg,ElasticNet,MLP,som_ret,remaining_ret,monthly_return,vix_regime,vix_spike,Ensemble
1997-02-01,0.6683048409954768,-4.59511985013459,0.0,3.0048,-2.1388,0.5199,2,0,-1.3089383363797042
1997-03-01,-1.1413892698008956,-4.59511985013459,0.0,-0.1054,-4.3154,-4.8019,2,0,-1.9121697066451617
1997-04-01,2.343552674749301,4.595119850134589,0.0,-1.0592,6.6696,5.4894,1,0,2.312890841627963
1997-05-01,1.0226294550660935,4.052037082007134,0.0,4.6538,1.2395,6.2302,1,0,1.6915555123577424
1997-06-01,0.9874349039075833,-1.6297511840914716,0.0,4.7928,0.5582,4.582,2,0,-0.21410542672796276
1997-07-01,2.6937470869910918,4.595119850134589,0.0,3.9027,2.7226,7.1019,2,0,2.4296223123752267
1997-08-01,-1.5007433789113718,-4.59511985013459,0.0,-3.148,-0.292,-5.033,2,0,-2.0319544096819873
1997-09-01,0.8000490269018928,4.2447700597983005,0.0,0.1511,2.7062,2.1238,2,0,1.6816063622333977
1997-10-01,-1.0232608923188937,-4.59511985013459,0.0,1.0316,-4.222,-4.2694,2,0,-1.872793580817828
1997-11-01,1.0712371737330393,4.595119850134589,0.0,-1.2684,3.9147,1.7476,3,1,1.8887856746225429
1997-12-01,1.4675202429709144,4.595119850134589,0.0,-1.3193,1.1888,-0.4452,2,0,2.020880031035168
1998-01-01,1.1400357987264436,3.512622677134185,0.0,-1.524,3.4452,0.5374,2,0,1.5508861586202096
1998-02-01,3.618906708236268,4.595119850134589,0.0,2.2517,2.5021,4.8009,1,0,2.7380088527902857
1998-03-01,2.7419421386670764,4.595119850134589,0.0,2.4476,3.031,5.1589,2,0,2.445687329600555
1998-04-01,0.9479899706804434,1.1867217725290053,0.0,0.6299,-0.2484,0.3249,2,0,0.7115705810698163
1998-05-01,-0.3586304098379088,-2.447050227555826,0.0,-0.6856,-1.8107,-2.6922,2,0,-0.9352268791312449
1998-06-01,1.9412803975773467,4.595119850134589,0.0,0.2823,4.3661,3.9286,2,0,2.1788000825706453
1998-07-01,-0.8909176970788474,-4.59511985013459,0.0,2.534,-5.572,-2.4283,1,0,-1.828679182404479
1998-08-01,-4.59511985013459,-4.59511985013459,0.0,-2.7948,-8.236,-13.9477,3,1,-3.0634132334230597
1998-09-01,1.0561356335040843,4.595119850134589,0.0,3.4098,-1.4012,2.2881,3,1,1.8837518278795577
1998-10-01,-0.033570060021451416,1.9030680876905366,0.0,3.4469,7.9744,11.3829,3,0,0.6231660092230283
1998-11-01,0.6838847998836682,4.595119850134589,0.0,1.4676,4.2298,4.6806,2,0,1.7596682166727524
1998-12-01,4.139240064815126,4.595119850134589,0.0,-1.3435,6.3838,4.5904,2,0,2.911453304983238
1999-01-01,1.2306259676234905,4.595119850134589,0.0,0.9441,2.4446,4.1967,2,0,1.9419152725860265
1999-02-01,-1.1524362188426815,-1.7237719820566202,0.0,-3.0068,0.1238,-2.7235,2,0,-0.9587360669664339
1999-03-01,-0.10693688787222337,-2.3409012895169554,0.0,5.0471,0.1494,4.0618,2,0,-0.8159460591297263
1999-04-01,2.0745955972720025,4.595119850134589,0.0,2.1796,1.4556,3.2047,2,0,2.223238482468864
1999-05-01,-0.6224340597352794,-4.475311290074219,0.0,-0.4574,-4.1051,-3.897,2,0,-1.6992484499364995
1999-06-01,1.2912126981273013,4.595119850134589,0.0,0.7839,5.3418,6.0614,2,0,1.96211084942063
1999-07-01,-1.5802808938322115,-4.59511985013459,0.0,1.7811,-5.3759,-3.7829,2,0,-2.0584669146556003
1999-08-01,-0.06319664062772659,0.6955292093662048,0.0,-0.5655,0.2357,-0.5753,2,0,0.21077752291282606
1999-09-01,-1.5549550757803616,-4.59511985013459,0.0,-0.046,-3.4451,-3.6332,2,0,-2.050024975304984
1999-10-01,2.698988154461555,4.595119850134589,0.0,-0.4755,5.8821,6.2457,2,0,2.4313693348653813
1999-11-01,-0.2071551516559466,-0.6657810247216318,0.0,2.8777,0.5618,2.581,2,0,-0.29097872545919284
1999-12-01,3.2130978639174073,4.595119850134589,0.0,1.1296,2.3758,5.1176,2,0,2.602739238017332
2000-01-01,-1.272746810196527,-4.59511985013459,0.0,-0.2471,-4.0209,-4.1753,2,0,-1.9559555534437056
2000-02-01,-1.4882418026156083,-1.9012629214701415,0.0,-0.8911,-1.9952,-3.0413,2,0,-1.1298349080285834
2000-03-01,2.4304186272779287,4.595119850134589,0.0,1.3414,7.091,8.6565,2,0,2.3418461591375057
2000-04-01,-1.078008621349924,-1.675524497167744,0.0,-5.6118,2.5688,-3.5552,2,0,-0.9178443728392227
2000-05-01,-1.4993565754860976,0.264010553159911,0.0,-2.8746,1.1385,-3.2454,2,0,-0.41178200744206217
2000-06-01,0.5640122119609772,1.9904927547258167,0.0,1.175,-0.8626,0.3996,2,0,0.8515016555622646
2000-07-01,-0.6894691403102611,-3.7392577784551073,0.0,1.964,-4.4395,-2.6342,1,0,-1.4762423062551229
2000-08-01,1.4546384135975283,4.595119850134589,0.0,2.7457,2.3311,5.5337,1,0,2.016586087910706
2000-09-01,-1.7505200039490605,-4.59511985013459,0.0,-3.5226,-1.8966,-5.5406,1,0,-2.11521328469455
2000-10-01,1.263447386949393,4.595119850134589,0.0,-5.4033,4.4732,-0.4756,2,1,1.9528557456946605
2000-11-01,-3.192335891251882,-4.59511985013459,0.0,-3.4306,-3.5115,-7.4774,2,0,-2.5958185804621574
2000-12-01,1.13469931171151,4.595119850134589,0.0,1.9896,-1.4959,0.384,2,0,1.9099397206153663
2001-01-01,0.4601120155634795,-2.991292392932768,0.0,3.6331,2.6903,6.4476,2,0,-0.8437267924564296
2001-02-01,-3.3527990970841284,-4.59511985013459,0.0,-3.9925,-5.7113,-9.7221,2,0,-2.649306315739573
2001-03-01,-0.9221611316538543,-0.6270904718542997,0.0,-5.4386,-2.8603,-6.5177,2,1,-0.5164172011693847
2001-04-01,1.3751015063089986,3.8005055976188746,0.0,4.009,5.6458,9.0403,2,0,1.7252023679759578
2001-05-01,-0.2003692413950494,-0.5955004593475419,0.0,-0.758,0.0859,-0.8386,2,0,-0.26528990024753046
2001-06-01,-0.5230607771362688,0.8267865111759535,0.0,-2.5897,0.1967,-2.8786,2,0,0.10124191134656157
2001-07-01,0.0963109042757874,3.1949212449215656,0.0,-2.1861,0.283,-2.0611,2,0,1.0970773830657843
2001-08-01,-2.0019276194561093,-4.59511985013459,0.0,-2.4967,-4.5336,-6.7726,2,0,-2.1990158231968997
2001-09-01,-3.013301757249086,-4.59511985013459,0.0,-12.049,4.1072,-8.1205,3,1,-2.5361405357945586
2001-10-01,-1.8992659681728592,-4.59511985013459,0.0,5.1002,-1.7224,2.0442,3,0,-2.1647952727691497
2001-11-01,1.5228910990842832,4.595119850134589,0.0,4.7785,0.2362,5.1056,2,0,2.0393369830729573
2001-12-01,1.1895057882377538,3.556512590663811,0.0,0.1296,2.2889,1.609,2,0,1.5820061263005216
2002-01-01,-0.3351350416382528,-0.8514034704850018,0.0,-1.3285,-2.1265,-2.1192,2,0,-0.39551283737441817
2002-02-01,-0.1811021178032569,3.5228540516534,0.0,-1.4434,1.7684,-1.3785,2,0,1.113917311283381
2002-03-01,0.5295563240214481,1.554885885574501,0.0,2.5715,-1.4701,1.3792,1,0,0.6948140698653164
2002-04-01,-1.2175278049439957,-4.59511985013459,0.0,-2.7319,-3.3061,-6.0722,1,0,-1.9375492183595284
2002-05-01,-0.16043811255648965,-1.5339993674601515,0.0,-0.2977,-2.7634,-1.7783,2,0,-0.5648124933388804
2002-06-01,-2.981870789233368,-4.59511985013459,0.0,-1.7873,-4.6748,-4.8872,2,1,-2.525663546455986
2002-07-01,-2.1777782114043482,-4.59511985013459,0.0,-5.5661,-2.6138,-5.8876,3,1,-2.257632687179646
2002-08-01,-3.1240549527646193,-4.59511985013459,0.0,3.2408,-1.3147,3.5505,3,0,-2.5730582676330696
2002-09-01,-4.59511985013459,-4.59511985013459,0.0,0.4715,-5.9561,-7.1456,3,0,-3.0634132334230597
2002-10-01,1.2896625867563696,4.595119850134589,0.0,-0.4147,6.1643,4.4639,3,0,1.9615941456303194
2002-11-01,1.8796249725999077,4.595119850134589,0.0,-0.5519,4.0879,3.9236,2,0,2.158248274244832
2002-12-01,-0.535835131680014,-1.1771471725666698,0.0,-3.4935,-0.8509,-5.8543,2,0,-0.5709941014155612
2003-01-01,-1.660588955409484,-4.59511985013459,0.0,1.0422,-7.2179,-5.8667,2,0,-2.085236268514691
2003-02-01,-0.20443223189132892,1.7193420424095747,0.0,-3.1235,0.0431,-2.2282,3,0,0.5049699368394153
2003-03-01,-0.0381919686926594,-0.8743160177630136,0.0,0.5882,2.7444,1.6016,3,0,-0.3041693288185577
2003-04-01,1.8164253041433462,4.595119850134589,0.0,2.4096,4.677,6.8074,2,0,2.137181718092645
2003-05-01,1.0649030487932039,3.7791786596559245,0.0,2.972,2.0577,5.161,2,0,1.614693902816376
2003-06-01,-0.4145087688667742,-4.59511985013459,0.0,3.5574,-1.9675,0.7756,2,0,-1.669876206333788
2003-07-01,0.22601220230692176,1.8797294220727512,0.0,1.3568,-1.0501,0.8134,1,0,0.7019138747932243
2003-08-01,0.5444031906250718,3.5620339513448385,0.0,1.1131,2.3931,2.8424,1,0,1.3688123806566368
2003-09-01,-1.2350335458468436,-2.9506813356000525,0.0,-0.0939,-1.0556,-2.546,1,0,-1.395238293815632
2003-10-01,1.1790095407828025,2.9456935851991215,0.0,2.7228,0.6249,3.1909,1,0,1.3749010419939747
